country,confirmed,new_cases,deaths,recovered,active,critical,new_deaths,total_tests,population
Croatia,36380,2421,437,24799,11144,58,8,445568,4097141
El Salvador,32585,0,949,28258,3378,55,5,458630,6496563
Greece,30782,790,574,9989,20219,84,10,1666151,10406738
Georgia,28431,1928,201,10767,17463,0,8,800789,3986722
Australia,27513,14,905,25181,1427,0,0,8505211,25592704
Malaysia,26565,823,229,17134,9202,99,8,2006716,32495878
North Macedonia,26394,0,897,18430,7067,25,0,233137,2083347
S. Korea,25836,61,457,23869,1510,53,0,2546146,51283225
Slovenia,22950,1673,240,8424,14286,71,5,325421,2079029
Cameroon,21570,0,425,20117,1028,61,0,149000,26749252
Ivory Coast,20429,0,121,20137,171,0,0,186404,26579367
Albania,19157,299,477,10654,8026,20,4,112626,2876795
Norway,17843,94,279,11863,5701,6,0,1528498,5434608
Madagascar,16968,0,244,16301,423,16,0,87659,27909866
Montenegro,16629,0,263,12601,3765,26,0,84817,628091
Zambia,16117,0,348,15179,590,0,0,229872,18541689
Senegal,15551,8,321,14254,976,4,0,203318,16879444
Finland,14848,196,353,9800,4695,11,0,1403061,5543456
Luxembourg,14204,491,145,9085,4974,10,1,1005621,629152
Sudan,13742,0,837,6764,6141,0,0,0,44165108
Namibia,12660,81,133,10779,1748,2,0,122261,2555210
Mozambique,11895,0,85,9244,2566,0,0,178561,31523704
Guinea,11635,0,71,10474,1090,24,0,40998,13242074
Maldives,11505,84,37,10524,944,12,0,150743,543506
Uganda,11443,146,101,7351,3991,0,2,536177,46181158
DRC,11143,0,305,10467,371,0,0,0,90392550
Tajikistan,10776,40,81,9889,806,0,0,0,9603820
French Guiana,10376,0,69,9995,312,2,0,73165,301061
Lithuania,10184,606,134,4073,5977,26,5,951701,2709985
Angola,9026,0,267,3461,5298,30,0,85213,33178011
Haiti,9015,0,231,7361,1423,0,0,31783,11446101
Gabon,8919,0,54,8512,353,3,0,225105,2241930
Jamaica,8714,44,188,4282,4244,4,2,92506,2965261
Cabo Verde,8322,0,94,7234,994,23,0,87480,557883
Zimbabwe,8269,0,236,7785,248,0,0,162958,14930524
Sri Lanka,7872,351,15,3803,4054,0,0,441990,21441696
Mauritania,7663,0,163,7378,122,3,0,85629,4687198
Guadeloupe,7329,0,115,2199,5015,35,0,65030,400146
Cuba,6566,32,128,5998,440,5,0,792218,11324412
Bahamas,6410,142,132,3948,2330,8,2,34088,394426
Botswana,5923,0,21,927,4975,1,0,279070,2366343
Malawi,5887,0,183,5288,416,4,0,59601,19281889
