country,confirmed,new_cases,deaths,recovered,active,critical,new_deaths,total_tests,population
North America,4189445,43995,189483,1953749,2046213,19771,1343,0,0
South America,3002916,11292,108718,1900334,993864,13640,351,0,0
Asia,3127192,56440,73863,2199534,853795,19745,1245,0,0
Europe,2611743,12539,197628,1545763,868352,5311,352,0,0
Africa,631187,2302,13833,319243,298111,989,30,0,0
Oceania,12155,240,133,9533,2489,28,3,0,0
0,721,0,15,651,55,4,0,0,0
World,13575359,126808,583673,7928807,5062879,59488,3324,0,0
USA,3579440,34363,139590,1613125,1826725,16310,447,44327843,331076384
Brazil,1939167,7963,74445,1213512,651210,8318,183,4572796,212615886
India,968117,30630,24915,612782,330420,8944,600,12412664,1380493070
Russia,746369,6422,11770,523249,211350,2300,156,23754645,145937005
Peru,333867,0,12229,223261,98377,1325,0,1963921,32987448
Chile,321205,1712,7186,292085,21934,1915,117,1334712,19122213
Mexico,311486,7051,36327,193976,81183,378,836,756137,128981086
Spain,304574,875,28413,0,0,617,4,6026446,46755514
South Africa,298292,0,4346,146279,147667,539,0,2232738,59334579
UK,291911,538,45053,0,0,145,85,12461869,67899665
Iran,264561,2388,13410,227561,23590,3411,199,2048049,84030066
Pakistan,255769,2165,5386,172810,77573,2078,66,1627939,221025870
Italy,243506,162,34997,196016,12493,57,13,6053060,60458132
Saudi Arabia,240474,2671,2325,183048,55101,2221,42,2436683,34831824
Turkey,215940,947,5419,197733,12788,1206,17,4107498,84371332
Germany,200895,129,9146,186000,5749,264,2,6376054,83794469
Bangladesh,193590,3533,2457,105523,85610,1,33,980402,164748373
France,172377,0,30029,78597,63751,492,0,2489269,65279255
Colombia,159898,0,5625,68806,85467,875,0,1082415,50902201
Canada,108719,233,8810,72377,27532,2170,12,3302483,37754249
Argentina,106910,0,1987,47298,57625,752,19,495065,45210848
Qatar,104983,450,151,101637,3195,135,1,424858,2807805
Egypt,83930,0,4008,25544,54378,41,0,135000,102395050
Iraq,83867,2110,3432,52621,27814,374,87,728737,40249168
