country,confirmed,new_cases,deaths,recovered,active,critical,new_deaths,total_tests,population
North America,2636768,26478,151555,1158797,1326416,19287,1180,0,0
South America,1662548,34295,67828,904389,690331,12378,904,0,0
Europe,2282719,14982,185744,1234130,862845,6398,512,0,0
Asia,1819225,43923,46425,1142463,630337,16184,970,0,0
Africa,283573,4896,7602,131679,144292,507,152,0,0
Oceania,9023,18,124,8467,432,2,0,0,0
0,721,0,15,651,55,4,0,0,0
World,8694577,124592,459293,4580576,3654708,54760,3718,0,0
USA,2282144,18493,121113,932633,1228398,16478,425,27048516,330938757
Brazil,1009699,26340,48427,520360,440912,8318,558,2344437,212508714
Russia,569063,7972,7841,324406,236816,2300,181,16321964,145932574
India,395812,14721,12970,214206,168636,8944,366,6426627,1379530022
UK,301815,1346,42461,0,0,379,173,7433114,67874383
Spain,292655,307,27136,0,0,617,0,4826516,46754232
Peru,244388,0,7461,131190,105737,1130,0,1439767,32954812
Italy,238011,251,34561,181097,22353,161,47,4889103,60464423
Chile,231393,6290,4093,186441,40859,1911,252,923513,19110570
Iran,200262,2615,9392,159192,31678,2833,120,1370718,83953697
Germany,190450,324,8952,174400,7098,396,6,5029696,83775487
Turkey,185245,1214,4905,157516,22824,769,23,2863632,84306899
Pakistan,168564,8446,3294,61383,103887,111,201,1011106,220720675
Mexico,165455,5662,19747,123095,22613,378,667,453481,128884917
France,159452,811,29617,74117,55718,727,14,1384633,65269025
Saudi Arabia,150292,4301,1184,95764,53344,1941,45,1224289,34793283
Bangladesh,105535,3243,1388,42945,61202,1,45,585548,164631906
Canada,100565,345,8346,62961,29258,1990,46,2295440,37730767
Qatar,85462,1021,93,65409,19960,221,7,313501,2807805
South Africa,83890,0,1737,44920,37233,208,0,1228098,59281463
Belgium,60476,128,9695,16751,34030,55,12,1087369,11588002
Colombia,60217,0,1950,22680,35587,335,0,550611,50863696
Belarus,57333,676,337,35275,21721,92,6,821887,9449416
Sweden,56043,0,5053,0,0,272,0,385659,10097180
Egypt,52211,1774,2017,13928,36266,41,79,135000,102257731
Ecuador,49731,634,4156,24446,21129,234,69,137930,17632936
Netherlands,49426,107,6081,0,0,57,3,517317,17133694
UAE,44145,393,300,30996,12849,1,2,3038000,9886084
Indonesia,43803,1041,2373,17349,24081,0,34,601239,273421374
Singapore,41615,142,26,33459,8130,2,0,576189,5848780
Kuwait,38678,604,313,30190,8175,193,5,349412,4268199
Portugal,38464,375,1527,24477,12460,67,3,1047109,10197556
Argentina,37510,0,954,11851,24705,353,6,264604,45181415
Ukraine,34984,921,985,16033,17966,343,19,542247,43740849
Poland,31316,301,1334,15698,14284,87,18,1297676,37847830
Switzerland,31217,17,1956,28900,361,17,0,493843,8652491
Philippines,28459,660,1130,7378,19951,417,14,553197,109527436
Afghanistan,27878,346,548,7962,19368,19,2,62492,38891787
Oman,27670,852,125,13974,13571,102,6,151784,5101003
Iraq,27352,1635,925,12205,14222,212,69,425192,40184894
Ireland,25368,13,1714,22698,956,28,0,396584,4935819
Dominican Republic,25068,423,647,14605,9816,167,12,119319,10844096
Romania,23400,320,1484,16555,5361,184,11,608771,19241111
Panama,23351,0,475,13782,9094,107,0,99870,4312182
Bolivia,21499,814,697,4002,16800,71,18,52756,11667137
Bahrain,20430,0,57,14696,5677,27,2,454368,1698705
Israel,20339,303,304,15586,4449,39,1,804743,9197590
Armenia,19157,459,319,8266,10572,10,10,91943,2963072
Nigeria,18480,0,475,6307,11698,7,0,106006,205920215
Japan,17668,0,935,15930,803,62,0,396433,126487466
