country,confirmed,new_cases,deaths,recovered,active,critical,new_deaths,total_tests,population
North America,3820150,53202,182765,1746581,1890804,18930,1258,0,0
South America,2747205,15029,100726,1817680,828799,13617,381,0,0
Asia,2846062,54786,67725,1960895,817442,19883,1095,0,0
Europe,2545811,13450,195843,1491916,858052,5355,360,0,0
Africa,560173,15110,12693,272692,274788,950,193,0,0
Oceania,11021,307,128,9180,1713,13,0,0,0
0,721,0,15,651,55,4,0,0,0
World,12531143,151884,559895,7299595,4671653,58752,3287,0,0
USA,3263391,43392,136294,1439505,1687592,15646,472,40642517,331049917
Brazil,1768970,9867,69406,1185596,513968,8318,152,4514329,212595276
India,821634,26792,22144,516206,283284,8944,521,11024491,1380307868
Russia,713936,6635,11017,489068,213851,2300,174,22388195,145936153
Peru,316448,0,11314,207802,97332,1292,0,1863278,32981172
Chile,309274,3058,6781,278053,24440,1990,99,1255359,19119974
Spain,300988,852,28403,0,0,617,2,5734599,46755268
UK,288133,512,44650,0,0,185,48,11538519,67894803
Mexico,282283,7280,33526,172230,76527,378,730,699944,128962592
Iran,252720,2262,12447,215015,25258,3319,142,1922501,84015380
South Africa,250687,12348,3860,118232,128595,539,140,2057232,59324365
Pakistan,243599,2751,5058,149092,89449,2375,75,1514858,220967179
Italy,242639,276,34938,194273,13428,65,12,5854621,60459342
Saudi Arabia,226486,3159,2151,163026,61309,2220,51,2179448,34824413
Turkey,210965,1003,5323,191883,13759,1182,23,3881410,84358941
Germany,199363,165,9128,184000,6235,278,3,6376054,83790818
Bangladesh,178443,2949,2275,86406,89762,1,37,921272,164725975
France,170752,658,30004,78388,62360,496,25,1384633,65277288
Colombia,133973,0,4714,56272,72987,875,0,945240,50894796
Canada,107021,216,8759,70812,27450,2152,10,3098193,37749733
Qatar,102630,520,146,98233,4251,139,4,404868,2807805
Argentina,90693,0,1749,38984,49960,688,29,445733,45205187
Egypt,79254,0,3617,22753,52884,41,0,135000,102368642
Sweden,74333,0,5500,0,0,85,0,600019,10100787
Iraq,72460,2848,2960,41380,28120,404,78,661090,40236807
Indonesia,72347,1611,3469,33529,35349,0,52,1015678,273587227
Ecuador,65018,797,4939,29577,30502,308,39,174769,17648317
Belarus,64604,193,454,54254,9896,89,5,1111614,9449238
Belgium,62357,147,9781,17179,35397,36,3,1349831,11590889
Kazakhstan,54747,1726,264,35137,19346,221,0,1659543,18781489
UAE,54050,473,330,43969,9751,1,2,3816000,9892939
