country,confirmed,new_cases,deaths,recovered,active,critical,new_deaths,total_tests,population
North America,3168343,44025,168863,1383419,1616061,18986,1185,0,0
South America,2228768,42240,85306,1311849,831613,12802,1692,0,0
Europe,2442246,12426,191550,1371354,879342,5688,513,0,0
Asia,2301423,45039,56904,1510922,733597,19368,1174,0,0
Africa,407336,11022,10166,195045,202125,920,252,0,0
Oceania,9476,69,126,8599,751,1,0,0,0
0,721,0,15,651,55,4,0,0,0
World,10558313,154821,512930,5781839,4263544,57769,4816,0,0
USA,2719289,37478,129993,1134988,1454308,15931,635,33806938,330996984
Brazil,1402041,31553,59594,790040,552407,8318,1209,3070447,212554056
Russia,647849,6693,9320,412650,225879,2300,154,19562440,145934449
India,585792,18256,17410,347836,220546,8944,506,8608654,1379937465
UK,312654,689,43730,0,0,276,155,9426631,67885079
Spain,296351,301,28355,0,0,617,9,5162909,46754775
Peru,285213,2848,9677,174535,101001,1185,173,1679386,32968619
Chile,279393,3394,5688,241229,32476,2106,113,1109792,19115496
Italy,240578,142,34767,190248,15563,93,23,5390110,60461762
Iran,227662,2457,10817,188758,28087,3049,147,1666587,83986007
Mexico,220657,3805,27121,131264,62272,378,473,566602,128925604
Pakistan,209337,2825,4304,98503,106530,2689,137,1283092,220849796
Turkey,199906,1293,5131,173111,21664,1026,16,3381650,84334159
Germany,195797,405,9052,179100,7645,337,11,5412655,83783518
Saudi Arabia,190823,4387,1649,130766,58408,2278,50,1639314,34809589
France,164801,541,29843,76274,58684,602,30,1384633,65273353
South Africa,151209,6945,2657,73543,75009,539,128,1630008,59303935
Bangladesh,145483,3682,1847,59624,84012,1,64,769460,164681180
Canada,104144,226,8591,67522,28031,2089,25,2721685,37740701
Colombia,97846,2803,3334,42073,52439,335,111,760719,50879986
Qatar,96088,982,113,81564,14411,200,0,356832,2807805
Sweden,68451,198,5333,0,0,144,12,444607,10099069
Egypt,68311,1557,2953,18460,46898,41,81,135000,102315827
Argentina,62268,0,1283,22028,38957,457,3,352402,45193867
Belarus,62118,328,392,46054,15672,89,5,1000785,9449322
Belgium,61427,66,9747,16984,34696,41,15,1226238,11589514
Ecuador,56432,767,4527,27594,24311,288,25,147212,17640992
Indonesia,56385,1293,2876,24806,28703,0,71,803898,273508250
Netherlands,50273,50,6113,0,0,30,6,616376,17134831
Iraq,49109,1958,1943,24760,22406,293,104,544545,40212087
UAE,48667,421,315,37566,10786,1,1,3136000,9889675
Kuwait,46195,671,354,37030,8811,139,4,386887,4270098
Ukraine,44334,706,1159,19115,24060,92,12,656122,43732994
Singapore,43907,246,26,38500,5381,1,0,684359,5850161
Portugal,42141,229,1576,27505,13060,73,8,1178053,10196667
Oman,40070,1010,176,23425,16469,117,7,191412,5104919
Philippines,37514,1076,1266,10233,26015,148,11,708534,109571275
Poland,34393,239,1463,21281,11649,85,19,1521406,37846589
Panama,32785,0,620,15595,16570,140,0,128795,4314225
Dominican Republic,32568,752,747,17580,14241,207,14,150919,10847363
Bolivia,32125,601,1071,8928,22126,71,57,73272,11671924
Switzerland,31714,62,1963,29200,551,11,1,572664,8654391
Afghanistan,31517,279,746,14131,16640,19,13,72318,38918200
Romania,26970,388,1651,19050,6269,205,17,710112,19237275
Bahrain,26758,519,87,21331,5340,50,3,554239,1700493
Armenia,25542,415,443,14048,11051,10,10,111844,2963238
Ireland,25473,11,1736,23364,373,12,1,429698,4937476
Israel,25244,803,320,17341,7583,52,1,978281,9197590
Nigeria,25133,0,573,9402,15158,7,0,132304,206074234
Kazakhstan,21819,492,188,13008,8623,121,0,1517098,18775354
Honduras,18818,736,485,1961,16372,58,6,49308,9903336
Japan,18593,117,972,16631,990,43,0,461446,126475881
Austria,17766,43,705,16478,583,6,2,612756,9006252
Ghana,17741,390,112,13268,4361,6,0,297591,31066005
Azerbaijan,17524,556,213,9715,7596,66,7,482170,10138764
Guatemala,17409,479,746,3170,13493,5,19,31427,17912442
Moldova,16613,256,545,9382,6686,469,9,63328,4033952
Serbia,14564,276,277,12662,1625,42,3,401240,8737302
Algeria,13907,336,912,9897,3098,42,7,0,43843759
Nepal,13564,316,29,3194,10341,0,0,526212,29132006
S. Korea,12800,43,282,11537,981,15,0,1273766,51269166
Denmark,12768,17,605,11649,514,10,0,1053453,5792166
Cameroon,12592,0,313,10100,2179,52,0,0,26537372
Morocco,12533,243,228,8920,3385,7,3,681191,36907949
Czechia,11895,90,349,7770,3776,12,1,551001,10708963
Ivory Coast,9499,285,68,4273,5158,0,2,55950,26369926
Sudan,9257,0,572,4014,4671,0,0,401,43836957
Norway,8879,17,250,8138,491,2,1,334553,5421075
Malaysia,8639,2,121,8354,164,4,0,764999,32363319
Uzbekistan,8503,281,26,5682,2795,25,3,1121236,33465645
Australia,7836,69,104,7008,724,1,0,2433468,25498156
Finland,7214,5,328,6600,286,0,0,243100,5540713
DRC,7039,100,170,1426,5443,0,3,0,89518210
Senegal,6793,95,112,4431,2250,30,4,79712,16737908
El Salvador,6438,265,174,3770,2494,165,10,162711,6486123
Kenya,6366,176,148,2039,4179,18,4,169836,53757902
North Macedonia,6334,125,302,2475,3557,55,4,60773,2083374
Haiti,5933,86,105,839,4989,0,1,11886,11401674
Tajikistan,5900,0,52,4506,1342,0,0,0,9535173
Ethiopia,5846,0,103,2430,3313,35,0,250604,114927185
Venezuela,5530,0,48,1649,3833,9,0,1240181,28435828
Gabon,5394,0,42,2420,2932,10,0,37297,2225096
Guinea,5391,40,33,4326,1032,24,2,14407,13127786
Kyrgyzstan,5296,279,57,2370,2869,30,7,212112,6523293
Bulgaria,4989,158,230,2676,2083,32,7,141473,6948254
Djibouti,4682,26,54,4524,104,0,1,46500,987894
Bosnia and Herzegovina,4453,128,186,2402,1865,4,2,92969,3280757
Mauritania,4363,126,129,1622,2612,21,1,13842,4647995
Luxembourg,4299,43,110,3998,191,2,0,185322,625894
Hungary,4155,10,585,2692,878,9,0,274945,9660320
French Guiana,4004,230,15,1508,2481,20,0,8707,298578
CAR,3745,132,47,787,2911,2,0,23208,4829024
Costa Rica,3459,190,16,1436,2007,5,1,38500,5093905
Greece,3409,19,192,1374,1843,9,1,312775,10422933
Thailand,3171,2,58,3056,57,1,0,603657,69799761
Somalia,2924,20,90,910,1924,2,0,0,15886799
Croatia,2777,52,107,2155,515,0,0,79104,4105191
Mayotte,2603,43,35,2325,243,4,3,8800,272733
Albania,2535,69,62,1459,1014,11,4,23654,2877795
Palestine,2428,243,8,451,1969,0,3,84621,5099995
Maldives,2361,24,9,1944,408,12,1,50336,540459
Cuba,2341,1,86,2214,41,1,0,170791,11326614
Paraguay,2221,30,17,1089,1115,3,1,69343,7131996
Madagascar,2214,76,20,994,1200,42,0,21696,27681556
Mali,2181,8,116,1474,591,0,1,12807,20242094
Nicaragua,2170,0,74,1238,858,0,0,0,6624082
Sri Lanka,2047,8,11,1711,325,1,0,105105,21413062
South Sudan,2007,18,38,279,1690,1,2,10660,11192950
Equatorial Guinea,2001,0,32,515,1454,0,0,16000,1402191
Estonia,1989,2,69,1829,91,1,0,106785,1326535
Iceland,1842,2,10,1819,13,0,0,74424,341236
Lithuania,1817,1,78,1515,224,16,0,422840,2722035
Lebanon,1778,33,34,1183,561,6,0,132639,6825378
Slovakia,1667,2,28,1464,175,0,0,209750,5459641
Guinea-Bissau,1654,0,24,317,1313,5,0,1500,1967435
Slovenia,1600,15,111,1384,105,0,0,101698,2078938
Zambia,1594,26,24,1329,241,1,2,54663,18376467
New Zealand,1528,0,22,1484,22,0,0,397470,5002100
Sierra Leone,1462,12,60,974,428,0,0,0,7975295
Cabo Verde,1227,62,15,629,583,0,3,39000,555954
Malawi,1224,72,14,260,950,4,1,13369,19123346
Hong Kong,1206,2,7,1107,92,1,0,321498,7496734
Benin,1199,12,21,333,845,1,2,56613,12118896
Tunisia,1174,2,50,1031,93,0,0,69527,11817969
Yemen,1158,30,312,488,358,0,8,120,29818537
Jordan,1132,4,9,882,241,3,0,385638,10202629
