country,confirmed,new_cases,deaths,recovered,active,critical,new_deaths,total_tests,population
North America,3359899,54683,173309,1468613,1717977,19021,1291,0,0
South America,2378663,16242,89682,1469689,819292,12965,714,0,0
Europe,2453408,12783,193063,1411188,849157,5623,499,0,0
Asia,2473255,53407,59902,1653203,760150,19360,1013,0,0
Africa,448551,14109,10905,216546,221100,940,243,0,0
Oceania,9897,254,126,8916,855,8,0,0,0
0,721,0,15,651,55,4,0,0,0
World,11124394,151478,527002,6228806,4368586,57921,3760,0,0
USA,2879866,44182,131977,1204679,1543210,15904,492,36218387,331012864
Brazil,1508991,7638,62304,916147,530540,8318,314,3290316,212566422
Russia,667883,6718,9859,437893,220131,2300,176,20451110,145934960
India,649889,22721,18669,394319,236901,8944,444,9297749,1380048586
Spain,297625,442,28385,0,0,617,17,5448984,46754922
Peru,295599,3595,10226,185852,99521,1210,181,1740969,32972385
Chile,288089,3548,6051,253343,28695,2099,131,1146593,19116840
UK,284276,519,44131,0,0,279,136,10120276,67887996
Italy,241184,223,34833,191467,14884,79,15,5575815,60461036
Mexico,238511,6741,29189,142593,66729,378,679,610495,128936700
Iran,235429,2566,11260,196446,27723,3123,154,1744958,83994819
Pakistan,221896,4087,4551,113623,103722,2479,78,1350773,220885011
Turkey,203456,1172,5186,178278,19992,1082,19,3535818,84341594
Saudi Arabia,201801,4193,1802,140614,59385,2291,50,1771628,34814036
Germany,197000,283,9073,181000,6927,318,9,5873563,83785708
South Africa,177124,9063,2952,86298,87874,539,108,1745153,59310064
France,166960,582,29893,77060,60007,560,18,1384633,65274533
Bangladesh,156391,3114,1968,68048,86375,1,42,820347,164694619
Colombia,106110,0,3641,44531,57938,335,0,798108,50884429
Canada,105025,253,8663,68650,27712,2110,21,2848244,37743411
Qatar,98653,756,121,88583,9949,185,3,372005,2807805
Egypt,72711,1412,3201,19690,49820,41,81,135000,102331672
Sweden,70639,0,5411,0,0,124,0,519113,10099585
Argentina,69941,0,1403,25224,43314,594,18,381431,45197263
Belarus,62997,299,412,49909,12676,89,7,1043876,9449297
Belgium,61727,129,9765,17073,34889,35,4,1270677,11589926
Indonesia,60695,1301,3036,27568,30091,0,49,871436,273531943
Ecuador,59468,0,4639,28032,26797,288,0,156185,17643190
