country,confirmed,new_cases,deaths,recovered,active,critical,new_deaths,total_tests
North America,1457311,14561,87986,282110,1087215,18012,896,0
Europe,1604758,23502,151633,646653,806472,14413,1119,0
South America,286385,4210,14699,99822,171864,10049,122,0
Asia,648381,13550,21791,357251,269339,5023,290,0
Africa,61007,1957,2203,21253,37551,223,42,0
Oceania,8525,17,118,7599,808,22,0,0
0,721,0,15,645,61,4,0,0
World,4067088,57797,278445,1415333,2373310,47746,2469,0
USA,1333172,11387,79239,224633,1029300,16843,624,8458897
Spain,262783,2666,26478,173157,63148,1741,179,2467761
Italy,218268,1083,30395,103031,84842,1034,194,2514234
UK,215260,3896,31587,0,183329,1559,346,1728443
Russia,198676,10817,1827,31916,164933,2300,104,5221964
France,176079,0,26230,55782,94067,2868,0,1384633
Germany,170998,410,7510,143300,20188,1650,0,2755770
Brazil,148670,2778,10100,59297,79273,8318,108,339552
Turkey,137115,1546,3739,89480,43896,1168,50,1334411
Iran,106220,1529,6589,85064,14567,2696,48,573220
Canada,66783,349,4628,30640,31515,502,59,1032088
India,62521,2826,2089,18672,41760,0,104,1523213
Peru,61847,0,1714,19012,41121,730,0,473190
Belgium,52596,585,8581,13411,30604,502,60,540643
Netherlands,42382,289,5422,0,36710,541,63,249655
Saudi Arabia,37136,1704,239,10144,26753,140,10,433500
Mexico,31522,1906,3160,20314,8048,378,199,123446
Switzerland,30251,44,1830,26100,2321,101,7,306223
Ecuador,28818,0,1704,3433,23681,156,0,82312
Pakistan,27474,1039,618,7756,19100,111,19,270025
Portugal,27406,138,1126,2499,23781,120,12,517660
Chile,27219,1247,304,12667,14248,544,10,267904
Sweden,25921,656,3220,4971,17730,425,45,148500
Ireland,22760,219,1446,17110,4204,72,17,214761
Singapore,22460,753,20,2296,20144,23,0,175604
Belarus,22052,951,126,6050,15876,92,5,251771
Qatar,21331,1130,13,2449,18869,72,1,124554
UAE,16793,0,174,3837,12782,1,0,1200000
Israel,16444,8,245,11313,4886,78,0,451028
Austria,15833,59,615,13928,1290,79,1,311690
Poland,15651,285,785,5437,9429,160,9,460686
Japan,15575,0,590,5146,9839,300,0,202013
Romania,15131,320,929,6912,7290,245,6,248056
Ukraine,14710,515,376,2909,11425,190,15,167107
Bangladesh,13770,636,214,2414,11142,1,8,116919
Indonesia,13645,533,959,2607,10079,0,16,150887
