country,confirmed,new_cases,deaths,recovered,active,critical,new_deaths,total_tests,population
North America,2138410,17624,128344,797792,1212274,19285,1190,0,0
South America,955274,9544,42918,449237,463119,11404,260,0,0
Europe,2028010,16861,176429,1027853,823728,8538,872,0,0
Asia,1226278,32051,32459,748387,445432,14514,628,0,0
Africa,162500,2662,4580,70768,87152,435,60,0,0
Oceania,8839,8,124,8222,493,5,0,0,0
0,721,0,15,651,55,4,0,0,0
World,6520032,78750,384869,3102910,3032253,54185,3010,0,0
USA,1893255,12050,108657,649189,1135409,16920,598,18876532,330854064
Brazil,560737,4069,31417,253570,275750,8318,139,930013,212442762
Russia,432277,8536,5215,195957,231105,2300,178,11426045,145929848
Spain,287406,394,27128,0,0,617,1,4063843,46753443
UK,279856,1871,39728,0,0,1559,359,4786219,67858826
Italy,233836,321,33601,160938,39297,353,71,3999591,60468295
India,216769,9578,6088,104071,106610,8944,259,4103233,1378937377
Germany,184228,137,8682,167300,8246,632,8,4348880,83763806
Peru,174884,0,4767,69257,100860,964,0,1092646,32934728
Turkey,166422,867,4609,130852,30961,612,24,2155349,84267248
Iran,160696,3134,8012,125206,27478,2557,70,997009,83906701
France,151677,352,29021,69455,53201,1210,81,1384633,65262729
Chile,113628,4942,1275,86173,26180,1446,87,628318,19103405
Mexico,97326,3891,10637,70308,16381,378,470,293078,128825735
Canada,93040,630,7495,50685,34860,1709,100,1724250,37716316
Saudi Arabia,91182,2171,579,68159,22444,1321,30,870963,34769565
Pakistan,80463,4065,1688,28923,49852,111,67,595344,220532862
Qatar,62160,1901,45,37542,24573,237,2,236437,2807805
Belgium,58685,70,9522,15959,33204,172,17,884386,11585802
Bangladesh,55140,2695,746,11590,42804,1,37,345583,164560234
Netherlands,46733,86,5977,0,0,116,10,368529,17132042
Belarus,45116,861,248,20171,24697,92,5,573699,9449551
Sweden,40803,2214,4542,0,0,308,74,275500,10094432
Ecuador,40414,0,3438,20019,16957,252,0,118754,17621217
Singapore,36405,569,24,23582,12799,5,0,408495,5846771
UAE,36359,571,270,19153,16936,1,1,2145493,9880861
South Africa,35812,0,755,18313,16744,208,0,761534,59248777
Portugal,33261,366,1447,20079,11735,56,11,847181,10198850
Colombia,31833,0,1009,11142,19682,136,0,350213,50840001
Switzerland,30893,19,1921,28600,372,25,1,404071,8649729
Kuwait,29359,710,230,15750,13379,191,4,303285,4265437
Egypt,28615,1079,1088,7350,20177,41,36,135000,102173226
Indonesia,28233,684,1698,8406,18129,0,35,354434,273295010
Ireland,25111,45,1659,22698,754,36,1,348416,4933409
Ukraine,24823,483,735,10440,13648,292,8,381552,43752274
Poland,24687,292,1115,12014,11558,160,23,967177,37849635
Philippines,19748,751,974,4153,14621,78,8,376800,109463670
Romania,19669,152,1296,13800,4573,162,8,459405,19246690
Argentina,18319,0,570,5896,11853,274,1,172947,45163302
Dominican Republic,18040,288,516,11224,6300,110,1,86285,10839344
Israel,17377,92,291,14983,2103,28,1,593499,9197590
Afghanistan,17267,758,294,1522,15451,19,24,42273,38853367
