country,confirmed,new_cases,deaths,recovered,active,critical,new_deaths,total_tests,population
North America,3858268,7600,183935,1773973,1900360,19064,721,0,0
South America,2797934,1452,102334,1851708,843892,13633,64,0,0
Asia,2854199,6140,67821,1964620,821758,19656,94,0,0
Europe,2554409,7510,196093,1501781,856535,5362,217,0,0
Africa,562728,0,12809,274778,275141,965,0,0,0
Oceania,11212,191,129,9334,1749,16,1,0,0
0,721,0,15,651,55,4,0,0,0
World,12639471,22893,563136,7376845,4699490,58700,1097,0,0
USA,3291786,0,136671,1460495,1694620,15777,0,41010213,331055210
Brazil,1804338,0,70524,1213512,520302,8318,0,4572796,212599398
India,822674,71,22152,516308,284214,8944,8,11307002,1380344908
Russia,720547,6611,11205,497446,211896,2300,188,22700000,145936323
Peru,319646,0,11500,210638,97508,1309,0,1883326,32982427
Chile,309274,0,6781,278053,24440,1990,0,1255359,19120422
Spain,300988,0,28403,0,0,617,0,5734599,46755317
Mexico,289174,6891,34191,177097,77886,378,665,715295,128966291
UK,288133,0,44650,0,0,185,0,11538519,67895775
Iran,252720,0,12447,215015,25258,3319,0,1922501,84018317
South Africa,250687,0,3860,118232,128595,539,0,2057232,59326408
Pakistan,246351,2752,5123,153134,88094,2156,65,1538427,220978917
Italy,242639,0,34938,194273,13428,65,0,5854621,60459100
Saudi Arabia,226486,0,2151,163026,61309,2220,0,2179448,34825895
Turkey,210965,0,5323,191883,13759,1182,0,3881410,84361420
Germany,199588,0,9130,184500,5958,278,0,6376054,83791548
Bangladesh,178443,0,2275,86406,89762,1,0,921272,164730455
France,170752,0,30004,78388,62360,496,0,1384633,65277681
Colombia,140776,0,4925,58800,77051,875,0,968465,50896277
Canada,107126,0,8759,70901,27466,2155,0,3142702,37750636
Qatar,102630,0,146,98233,4251,139,0,404868,2807805
Argentina,94060,0,1774,38984,53302,688,0,445733,45206319
Egypt,80235,0,3702,23274,53259,41,0,135000,102373924
Sweden,74898,0,5526,0,0,85,0,600019,10100959
Iraq,72460,0,2960,41380,28120,404,0,661090,40239279
Indonesia,72347,0,3469,33529,35349,0,0,1015678,273595125
Ecuador,65018,0,4939,29577,30502,308,0,174769,17649049
Belarus,64604,0,454,54254,9896,89,0,1111614,9449229
Belgium,62357,0,9781,17179,35397,36,0,1349831,11591026
Kazakhstan,56455,1708,264,32500,23691,221,0,1694586,18782102
UAE,54050,0,330,43969,9751,1,0,3816000,9893265
Oman,53614,0,244,34225,19145,130,0,231211,5108835
Kuwait,53580,0,383,43214,9983,157,0,427006,4271997
Philippines,52914,0,1360,13230,38324,333,0,935763,109615114
Ukraine,52843,800,1372,25661,25810,105,27,786402,43725138
Netherlands,50840,0,6136,0,0,20,0,681931,17135967
Singapore,45783,170,26,41780,3977,1,0,866414,5851542
Portugal,45679,0,1646,30350,13683,66,0,1316425,10195777
Bolivia,45565,1452,1702,13918,29945,71,64,102477,11676710
Panama,43257,0,863,21426,20968,160,0,158669,4316267
Dominican Republic,41915,0,864,20830,20221,226,0,182263,10850630
Poland,37216,0,1562,26048,9606,66,0,1720428,37845348
Israel,36266,0,351,18613,17302,130,0,1192111,9197590
Afghanistan,34351,157,975,21105,12271,31,4,79282,38944614
Switzerland,32690,0,1966,29400,1324,16,0,670484,8656290
Bahrain,32039,0,104,27213,4722,53,0,649020,1702281
Armenia,31392,489,559,19419,11414,10,13,133104,2963404
Romania,31381,0,1847,21129,8405,236,0,824343,19233439
Nigeria,31323,0,709,12795,17819,7,0,175656,206228253
Guatemala,27619,0,1139,4024,22456,5,0,64590,17922416
Honduras,27053,669,750,2850,23453,58,46,49308,9908074
Ireland,25589,0,1744,23364,481,9,0,491648,4939133
Ghana,23834,0,135,19212,4487,8,0,322910,31085538
Azerbaijan,22990,0,292,14093,8605,66,0,552311,10141508
Japan,20719,0,982,17652,2085,31,0,540411,126464295
Moldova,18924,0,635,12188,6101,391,0,101180,4033672
Austria,18709,0,706,16808,1195,9,0,683484,9007794
Algeria,18242,0,996,13124,4122,50,0,0,43867588
