country,confirmed,new_cases,deaths,recovered,active,critical,new_deaths,total_tests,population
North America,2725463,30717,153927,1215163,1356373,19336,718,0,0
South America,1772141,26201,71318,957698,743125,12517,1019,0,0
Europe,2310924,13157,187627,1258384,864913,6321,240,0,0
Asia,1900759,40271,48255,1204261,648243,16062,964,0,0
Africa,308406,8565,8134,148653,151619,491,193,0,0
Oceania,9079,27,124,8485,470,2,0,0,0
0,721,0,15,651,55,4,0,0,0
World,9027493,118938,469400,4793295,3764798,54733,3134,0,0
USA,2353774,23196,122238,977683,1253853,16506,258,28417983,330949344
Brazil,1084883,14744,50608,543186,491089,8318,550,2409830,212516958
Russia,584680,7728,8111,339711,236858,2300,109,16998453,145932915
India,426910,15183,13703,237252,175955,8944,426,6807226,1379604102
UK,304331,1221,42632,0,0,379,43,7890145,67876328
Spain,293352,334,28323,0,0,617,1,5162909,46754331
Peru,254936,3598,8045,141967,104924,1143,184,1504209,32957322
Chile,242355,5607,4479,200569,37307,1996,184,963708,19111466
Italy,238499,224,34634,182893,20972,148,24,4984370,60463939
Iran,204952,2368,9623,163591,31738,2887,116,1422407,83959572
Germany,191575,359,8962,174900,7713,376,1,5029696,83776947
Turkey,187685,1192,4950,160240,22495,803,23,2945240,84311855
Pakistan,176617,4951,3501,67892,105224,111,119,1071642,220744151
Mexico,175202,4717,20781,131686,22735,378,387,473952,128892314
France,160377,284,29640,74372,56365,715,7,1384633,65269812
Saudi Arabia,157612,3379,1267,101130,55215,2027,37,1284653,34796248
Bangladesh,112306,3531,1464,45077,65765,1,39,615164,164640865
Canada,101286,267,8430,63860,28996,2014,20,2382781,37732573
South Africa,97302,4621,1930,51608,43764,208,53,1328060,59285549
Qatar,87369,881,98,68319,18952,221,4,320792,2807805
Colombia,65633,0,2126,25499,38008,335,0,585822,50866658
Belgium,60550,0,9696,16771,34083,50,0,1098910,11588277
Belarus,58505,569,346,37666,20493,89,3,861703,9449399
Sweden,56043,0,5053,0,0,272,0,385659,10097524
Egypt,55233,1475,2193,14736,38304,41,87,135000,102268294
Ecuador,50640,909,4223,24991,21426,273,67,139333,17634401
Netherlands,49593,91,6090,0,0,55,1,517317,17133901
Indonesia,45891,862,2465,18404,25022,0,36,639385,273437170
UAE,44925,392,302,32415,12208,1,1,3038000,9886737
Singapore,42095,262,26,34942,7127,1,0,576189,5849031
Argentina,41204,0,1000,12728,27476,353,8,279672,45183679
Kuwait,39650,505,326,31240,8084,186,7,354378,4268544
Portugal,39133,292,1530,25376,12227,69,2,1047109,10197394
Ukraine,36560,735,1002,16509,19049,350,8,563194,43739420
Poland,31931,311,1356,16683,13892,71,10,1341842,37847604
Switzerland,31292,49,1956,29000,336,16,0,507736,8652837
Iraq,30868,1646,1100,13935,15833,224,87,425192,40189838
Philippines,30052,652,1169,7893,20990,82,19,580449,109535407
Oman,29471,905,131,15552,13788,101,3,157036,5101715
Afghanistan,28833,409,581,8764,19488,19,12,64958,38896589
Dominican Republic,26677,899,662,15138,10877,165,7,125868,10844690
Ireland,25379,5,1715,22698,966,17,0,399259,4936120
Panama,25222,0,493,14359,10370,107,0,105470,4312553
Romania,24045,315,1512,16911,5622,195,12,626330,19240413
Bolivia,23512,1036,740,5086,17686,71,25,56964,11668007
Bahrain,21764,433,63,16419,5282,33,3,477788,1699030
Israel,20778,145,306,15694,4778,43,1,804743,9197590
Armenia,20268,560,350,9002,10916,10,18,95754,2963102
Nigeria,19808,0,506,6718,12584,7,0,108548,205948218
Japan,17799,0,952,16077,770,61,0,409022,126485360
Austria,17341,18,690,16197,454,8,2,560584,9004991
Kazakhstan,17225,446,120,10897,6208,121,2,1330577,18769832
Moldova,14200,247,473,7896,5831,440,9,63328,4034182
Ghana,14007,290,85,10473,3449,6,0,267286,31050023
Serbia,12894,91,261,11947,686,19,1,339882,8738163
Guatemala,12755,246,514,2558,9683,5,31,31427,17904281
Azerbaijan,12729,491,154,6799,5776,66,6,417102,10136519
S. Korea,12421,48,280,10868,1273,15,0,1176463,51268085
Denmark,12391,0,600,11282,509,6,0,876344,5791666
