country,confirmed,new_cases,deaths,recovered,active,critical,new_deaths,total_tests,population
North America,1997432,16245,121286,628992,1247154,19399,1112,0,0
South America,766551,9063,36937,323456,406158,11138,204,0,0
Europe,1986789,16890,172516,963146,851127,9032,948,0,0
Asia,1080190,28924,29658,650932,399600,13681,538,0,0
Africa,134518,2931,3905,55828,74785,356,91,0,0
Oceania,8782,23,125,8164,493,4,0,0,0
0,721,0,15,651,55,4,0,0,0
World,5974983,74076,364442,2631169,2979372,53614,2893,0,0
USA,1779447,10986,103872,502116,1173459,17161,542,16586600,330827597
Brazil,443542,4730,26899,193181,223462,8318,135,871839,212422152
Russia,387623,8572,4374,159257,223992,2300,232,10000061,145928996
Spain,285644,658,27121,196958,61565,617,2,3556567,46753197
UK,271222,2095,38161,0,0,1559,324,4043686,67853964
Italy,232248,516,33229,152844,46175,475,87,3755279,60469504
France,186835,597,28714,67803,90318,1361,52,1384633,65260761
Germany,182917,465,8580,164100,10237,744,10,3952971,83760156
India,173458,8072,4980,82468,86010,8944,269,3483838,1378752175
Turkey,162120,1141,4489,125963,31668,662,28,1964364,84254857
Iran,146668,2819,7677,114931,24060,2547,50,896571,83892015
Peru,141779,0,4099,59442,78238,926,0,928797,32928451
Chile,90638,3695,944,38598,51096,1350,54,546506,19101165
Canada,89386,874,6979,47441,34966,1613,102,1585235,37711800
Saudi Arabia,81766,1581,458,57013,24295,384,17,787465,34762153
Mexico,81400,3377,9044,56638,15718,378,447,244858,128807241
Pakistan,64028,2801,1317,22305,40406,111,57,520017,220474171
Belgium,58061,212,9430,15682,32949,187,42,836879,11585114
Qatar,52907,1993,36,20604,32267,216,3,212897,2876377
Netherlands,46126,176,5931,0,0,180,28,348256,17131525
Bangladesh,42844,2523,582,9015,33247,1,23,287067,164537836
Belarus,40764,906,224,17390,23150,92,5,512418,9449593
Ecuador,38471,0,3313,18425,16733,220,0,110812,17617555
Sweden,36476,749,4350,4971,27155,289,84,238800,10093573
Singapore,33860,611,23,19631,14206,8,0,334691,5846144
UAE,33170,638,260,17097,15813,1,2,2110493,9879229
Portugal,31946,350,1383,18911,11652,66,14,795838,10199255
Switzerland,30828,32,1919,28300,609,32,0,390697,8648865
South Africa,27403,0,577,14370,12456,128,0,655723,59238562
Colombia,25366,0,822,6665,17879,136,0,283346,50832596
Indonesia,25216,678,1520,6492,17204,0,24,300545,273255522
Kuwait,25184,1072,194,9273,15717,191,9,282341,4264573
Ireland,24876,35,1645,22089,1142,47,6,325795,4932656
Poland,23155,330,1051,10692,11412,160,13,873456,37850199
Ukraine,22811,429,679,8934,13198,267,10,337318,43755845
Egypt,22082,1289,879,5511,15692,41,34,135000,102146819
Romania,18982,191,1248,12829,4905,182,13,421451,19248434
Israel,16987,115,284,14776,1927,37,0,565311,9197590
Japan,16683,0,867,14147,1669,136,0,281293,126509583
Austria,16655,27,668,15347,640,25,0,434302,9001768
Philippines,16634,1046,942,3720,11972,81,21,332689,109443743
Dominican Republic,16531,463,488,9266,6777,106,3,76930,10837859
Argentina,14702,0,510,4788,9404,171,2,150486,45157642
Afghanistan,13659,623,246,1259,12154,19,11,35923,38841361
Panama,12131,0,320,7379,4432,72,0,63202,4308282
Denmark,11593,81,568,10240,785,18,0,606574,5790388
S. Korea,11402,58,269,10363,770,15,0,885120,51265321
Serbia,11354,54,242,6524,4588,8,1,239234,8740364
Bahrain,10352,300,15,5491,4846,9,0,302640,1695292
Kazakhstan,9932,356,37,5057,4838,62,0,761727,18755722
Oman,9820,811,40,2396,7384,31,0,72000,5093528
Czechia,9180,40,319,6498,2363,19,0,430564,10707231
Algeria,9134,137,638,5422,3074,34,8,0,43774437
Nigeria,8915,0,259,2592,6064,7,0,58726,205626178
Armenia,8676,460,120,3297,5259,10,7,56042,2962755
Norway,8422,11,236,7727,459,8,0,245352,5417374
Bolivia,8387,619,293,738,7356,3,13,22294,11657999
Moldova,7896,171,288,4278,3330,256,6,40565,4034769
Malaysia,7732,103,115,6235,1382,8,0,519944,32327063
Morocco,7697,54,202,5223,2272,1,0,185866,36869708
Ghana,7616,313,34,2421,5161,17,0,208328,31009181
Australia,7173,23,103,6582,488,4,0,1397622,25472297
Finland,6776,33,314,5500,962,10,1,179400,5539963
Iraq,5873,416,185,3044,2644,45,6,211485,40132981
Cameroon,5436,0,175,1996,3265,28,0,0,26479422
Azerbaijan,4989,230,58,3125,1806,42,2,284669,10130782
Honduras,4752,112,196,519,4037,13,2,14790,9889552
Sudan,4521,175,233,816,3472,0,38,401,43747206
Guatemala,4348,203,80,565,3703,5,12,31427,17883425
Luxembourg,4012,4,110,3815,87,4,0,72996,625003
Hungary,3841,25,517,2024,1300,24,8,180152,9662456
Tajikistan,3686,123,47,1769,1870,0,0,0,9516398
Guinea,3553,0,22,1950,1581,24,0,14407,13096527
Uzbekistan,3468,24,14,2728,726,7,0,460000,33423219
Senegal,3429,81,41,1738,1650,18,2,39499,16699197
Thailand,3076,11,57,2945,74,59,0,375453,69784490
Djibouti,2914,0,20,1241,1653,0,0,25257,986638
Greece,2909,3,175,1374,1360,16,0,174844,10427362
DRC,2833,173,69,400,2364,0,0,0,89279074
Ivory Coast,2641,0,32,1326,1283,0,0,26021,26312643
Bosnia and Herzegovina,2485,23,153,1803,529,4,0,63596,3282532
Bulgaria,2485,8,136,1016,1333,22,2,79389,6952801
Gabon,2431,0,14,668,1749,15,0,12669,2220492
El Salvador,2278,84,42,1015,1221,30,3,84650,6483267
Croatia,2245,0,103,2059,83,4,1,65509,4107393
North Macedonia,2129,52,126,1516,487,21,5,27684,2083381
Cuba,2005,22,82,1760,163,3,0,101108,11327216
Estonia,1859,8,67,1610,182,0,1,81719,1326457
Somalia,1828,0,72,310,1446,2,0,0,15847882
Iceland,1805,0,10,1794,1,0,0,60491,341043
Kenya,1745,127,62,438,1245,7,4,74003,53654106
Mayotte,1699,29,21,1385,293,9,0,5200,272156
Lithuania,1662,6,68,1216,378,17,0,294091,2725331
Kyrgyzstan,1662,68,16,1088,558,4,0,109521,6513873
Sri Lanka,1558,28,10,754,794,1,0,60878,21405231
Slovakia,1520,0,28,1338,154,0,0,167562,5459411
