country,confirmed,new_cases,deaths,recovered,active,critical,new_deaths,total_tests,population
North America,2168570,21015,130928,847521,1190121,19354,2091,0,0
South America,1006498,20774,44875,470937,490686,11495,601,0,0
Europe,2045107,16866,177088,1042087,825932,9338,643,0,0
Asia,1259882,33251,33055,765392,461435,14531,590,0,0
Africa,171477,6492,4755,75280,91442,449,128,0,0
Oceania,8850,11,124,8230,496,4,0,0,0
0,721,0,15,651,55,4,0,0,0
World,6661105,98409,390840,3210098,3060167,55175,4053,0,0
USA,1917392,15609,109965,694477,1112950,16972,823,19433209,330859357
Brazil,595112,11132,33038,266132,295942,8318,491,930013,212446884
Russia,441108,8831,5384,204623,231101,2300,169,11733051,145930019
Spain,287740,334,27133,0,0,617,5,4063843,46753492
UK,281661,1805,39904,0,0,604,176,5005565,67859798
Italy,234013,177,33689,161895,38429,338,88,4049544,60468053
India,226693,9869,6363,108450,111880,8944,275,4242718,1378974417
Germany,184912,487,8736,167800,8376,632,37,4348880,83764536
Peru,183198,4284,4894,72319,105985,1005,0,1115615,32935983
Turkey,167410,988,4630,131778,31002,602,21,2209583,84269726
Iran,164270,3574,8071,127485,28714,2569,59,1019362,83909638
France,152444,767,29065,69976,53403,1163,44,1384633,65263122
Chile,118292,4664,1356,90748,26188,1496,81,646458,19103852
Mexico,101238,3912,11729,73271,16238,378,1092,303461,128829434
Canada,93700,615,7636,51685,34379,1721,138,1787446,37717219
Saudi Arabia,93157,1975,611,68965,23581,1321,32,887209,34771048
Pakistan,85264,4801,1770,30128,53366,111,82,615511,220544600
Qatar,63741,1581,45,39468,24228,239,0,241086,2807805
Belgium,58767,82,9548,16048,33171,143,26,900282,11585939
Bangladesh,57563,2423,781,12161,44621,1,35,358277,164564713
Netherlands,46942,209,5990,0,0,113,13,378912,17132145
Belarus,45981,865,253,21162,24566,92,5,585065,9449542
Sweden,41883,1080,4562,0,0,2143,20,275500,10094604
Ecuador,40966,0,3486,20019,17461,252,0,119375,17621950
South Africa,40792,3267,848,21311,18633,208,56,820675,59250820
UAE,37018,659,273,19572,17173,1,3,2145493,9881188
Singapore,36922,517,24,23904,12994,5,0,408495,5846897
Portugal,33592,331,1455,20323,11814,58,8,847181,10198769
Colombia,33354,0,1045,12288,20021,136,0,362432,50841482
Switzerland,30913,20,1921,28600,392,27,0,409450,8649901
Kuwait,29921,562,236,17223,12462,184,6,306006,4265609
Egypt,29767,1152,1126,7756,20885,41,38,135000,102178508
Indonesia,28818,585,1721,8892,18205,0,23,367640,273302908
Ukraine,25411,588,747,11042,13622,297,12,392316,43751560
