country,confirmed,new_cases,deaths,recovered,active,critical,new_deaths,total_tests,population
North America,2418827,32354,142788,1027868,1248171,19232,1441,0,0
South America,1351250,38268,57701,689265,604284,12011,1328,0,0
Europe,2173549,16212,182067,1147833,843649,6708,609,0,0
Asia,1538625,39289,38735,934968,564922,15369,835,0,0
Africa,226816,7462,6047,104547,116222,526,178,0,0
Oceania,8901,5,124,8371,406,2,0,0,0
0,721,0,15,651,55,4,0,0,0
World,7718689,133590,427477,3913503,3377709,53852,4391,0,0
USA,2115321,25620,116795,838417,1160109,16606,761,23629438,330901704
Brazil,828810,23161,41828,396692,390290,8318,770,1364423,212479860
Russia,511423,8987,6715,269370,235338,2300,183,14218674,145931382
India,309603,11320,8890,154231,146482,8944,389,5363445,1379270740
UK,292950,1541,41481,0,0,492,202,6434713,67867577
Spain,290289,502,27136,0,0,617,0,4465338,46753887
Italy,236305,163,34223,173085,28997,227,56,4514441,60466117
Peru,220749,5961,6308,107133,107308,1089,199,1315417,32946025
Germany,187251,456,8863,171600,6788,462,12,4694147,83770376
Iran,182525,2369,8659,144649,29217,2739,75,1196947,83933136
Turkey,175218,1195,4778,149102,21338,664,15,2541903,84289552
Chile,160846,6754,2870,131358,26618,1689,222,799776,19107435
France,156287,726,29374,72572,54341,879,28,1384633,65266270
Mexico,133974,4790,15944,98064,19966,378,587,369362,128859025
Pakistan,125933,6397,2463,40247,83223,111,107,809169,220638507
Saudi Arabia,119942,3921,893,81029,38020,1820,36,1042312,34782906
Canada,97898,368,8048,58490,31360,1878,54,2028496,37724444
Bangladesh,81523,3471,1095,17249,63179,1,46,473322,164600549
Qatar,76588,1517,70,53296,23222,229,1,280665,2807805
South Africa,61927,3359,1354,35006,25567,208,70,1060425,59267163
Belgium,59819,108,9646,16498,33675,89,10,996785,11587039
Belarus,52520,704,298,27760,24462,92,5,697011,9449475
Sweden,49684,205,4854,0,0,272,40,325000,10095978
Netherlands,48461,210,6053,0,0,77,9,455067,17132971
Ecuador,45778,1338,3828,22679,19271,219,108,128175,17627809
Colombia,45212,0,1488,17790,25934,335,0,458324,50853330
UAE,41499,513,287,25946,15266,1,1,2626000,9883799
Egypt,41303,1577,1422,11108,28773,41,45,135000,102220760
Singapore,39850,463,25,28040,11785,2,0,488695,5847901
Indonesia,36406,1111,2048,13213,21145,0,48,478953,273366090
Portugal,36180,270,1505,22200,12475,73,1,954069,10198122
Kuwait,34952,520,285,25048,9619,172,6,330129,4266990
Switzerland,31063,19,1938,28800,325,18,1,447617,8651283
Ukraine,29753,683,870,13567,15316,306,16,468172,43745847
Poland,28577,376,1222,13805,13550,77,7,1150983,37848619
Argentina,27373,0,772,8743,17858,274,7,221305,45173491
Ireland,25250,12,1705,22698,847,28,2,367780,4934765
Philippines,24787,612,1052,5454,18281,82,16,483544,109499539
Afghanistan,23546,656,446,3928,19172,19,20,53705,38874978
